A_23_P11341,A_23_P26243,A_23_P29257,A_24_P170826,class
239.56883,10669.35,90.41471,1351.6152,1
324.81607,11622.793,36.388893,690.03546,0
296.03467,17269.574,77.55874,1284.2869,1
272.3596,9449.606,24.938671,832.39484,0
139.19794,8373.662,57.451214,1295.9001,1
257.92026,10655.0625,53.986725,1004.49304,0
212.78667,8213.549,73.2832,1215.812,1
239.45625,9517.7,38.73384,1006.068,0
158.30693,6082.4927,51.67533,1401.9901,1
166.13373,8940.097,27.912256,688.01184,0
141.46968,5909.612,48.255814,926.39703,1
214.11887,11846.146,53.25428,1045.0864,0
138.82422,6175.803,73.40281,1193.379,1
247.1348,10212.797,43.042572,1094.565,0
247.30075,8415.947,77.43566,1223.4324,1
315.6344,14451.786,45.548607,992.78436,0
202.20717,7501.7656,74.710144,1027.2026,1
262.87753,9316.12,57.827045,697.7468,0
110.44182,4553.5283,33.880085,948.2489,1
247.54797,9048.268,59.699295,1135.9495,0
128.10869,7841.301,40.097088,1376.263,1
374.6269,14224.949,52.56222,1529.2682,0
175.163,11953.591,61.269497,1452.8655,1
213.75499,10981.792,48.302586,1101.7727,0
154.4013,6590.122,94.24314,1212.4059,1
467.30426,9173.804,57.24667,681.46765,0
136.14438,8676.859,36.847248,1232.8481,1
260.514,8564.105,46.695877,889.60315,0
123.32198,6937.7583,48.099506,1140.951,1
240.99254,11269.393,49.643044,1014.33105,0
174.10431,6831.3145,50.64265,819.0127,1
218.25902,9162.785,46.453625,563.8687,0
157.63281,5435.268,85.18554,1269.4569,1
244.99918,12173.963,51.19961,1141.4202,0
243.57555,8339.44,24.57665,625.93097,1
208.69907,8878.008,31.17174,816.61725,0
218.88124,9224.556,122.340126,1307.1743,1
344.1779,12726.681,58.647053,1244.9103,0
183.72853,8348.917,63.702393,1014.081,1
243.17535,11195.136,42.00855,950.68225,0
184.10184,9751.978,59.60923,999.0914,1
228.31183,9063.149,50.18254,756.8891,0
