A_23_P104346,A_23_P112482,A_23_P11341,A_23_P130642,A_23_P18055,A_23_P200801,A_23_P250156,A_23_P252603,A_23_P255968,A_23_P26243,A_23_P29257,A_23_P3169,A_23_P361085,A_23_P371155,A_23_P401106,A_23_P4640,A_23_P73058,A_23_P74114,A_23_P76291,A_23_P77807,A_24_P161463,A_24_P170826,A_24_P178693,A_24_P299007,A_24_P303420,A_24_P304969,A_24_P350622,A_24_P360529,A_24_P367473,A_24_P412943,A_24_P56130,A_24_P795106,A_24_P858698,A_24_P931845,A_24_P934528,A_32_P136477,A_32_P159726,A_32_P41461,Class
3293.7305,484.2695,239.56883,2556.5518,68.08549,75.39437,373.468,120.596115,150.82652,10669.35,90.41471,271.7431,5148.0664,944.40735,229.04474,77.36357,718.72876,1476.5165,82.24804,53.144825,3414.0974,1351.6152,4861.3613,187.88818,138.54077,6117.55,111.130394,197.25989,179.5403,112.566696,11365.819,47.171295,1674.986,66.68362,275.25568,66.98078,89.13821,3402.69,Autism
1446.7874,564.15656,324.81607,2012.9648,51.82868,126.733185,130.4793,154.32182,131.2623,11622.793,36.388893,229.3965,3917.0547,1515.8169,115.0174,93.740524,576.32745,1324.1383,118.9755,37.19147,4361.762,690.03546,6540.967,282.57956,155.02864,1507.9287,58.05275,232.25974,327.05786,140.40775,16557.998,53.39683,538.73535,47.78584,270.32663,89.04039,109.58779,2586.2227,Control
3471.2373,478.25653,296.03467,2643.57,65.160515,61.659035,318.40857,111.171326,127.40933,17269.574,77.55874,450.16083,2698.1104,1740.4382,275.44553,46.626816,659.5509,1624.2617,74.94307,57.136658,5319.3394,1284.2869,4790.659,265.76065,163.03642,3730.8552,55.61883,144.74461,590.25104,124.93171,14224.159,53.018734,1435.4844,60.03941,417.7404,68.183716,79.63383,3607.6724,Autism
1862.8607,451.98895,272.3596,2020.4182,60.74616,77.81095,137.5244,112.3393,89.283775,9449.606,24.938671,146.31908,3585.8035,946.3778,110.95034,83.624916,522.5698,1348.7896,136.94937,42.388474,4115.511,832.39484,6436.1377,149.77565,100.02852,2061.1304,49.878613,315.33514,211.37611,122.78585,12916.564,77.29267,667.0684,38.2312,181.67458,82.61304,136.86983,3017.8975,Control
4451.7837,366.63263,139.19794,2825.4966,72.955185,61.79763,448.0068,112.60811,192.19878,8373.662,57.451214,237.59265,2177.4023,838.75006,147.55243,40.651676,743.1762,1586.4214,45.072033,69.67002,2202.6309,1295.9001,3274.1455,228.16261,79.95366,3950.9626,59.694717,131.53687,476.49854,78.70002,7072.3706,38.302788,1482.4578,68.33408,133.99283,57.47448,42.448185,3473.9966,Autism
3163.816,664.4552,257.92026,2449.833,109.18182,92.711845,352.3203,165.56407,184.10269,10655.0625,53.986725,301.78757,5154.318,1202.6868,129.84143,87.883125,671.0356,1625.7731,121.18912,62.70096,3885.6484,1004.49304,6963.6772,304.42636,138.58368,3129.1064,68.98207,295.5998,449.39136,119.595795,9861.363,56.465145,926.827,48.61984,151.82478,90.01717,60.16368,3247.656,Control
4541.315,529.7958,212.78667,2361.7817,82.896324,67.96947,495.37863,167.9155,188.74251,8213.549,73.2832,198.17242,2206.379,688.4418,142.76196,49.737312,609.40234,1447.477,76.426926,83.20351,2741.0776,1215.812,4291.4834,262.36786,98.22288,4664.7495,164.58913,214.49442,346.6704,111.28371,6164.994,64.74299,1331.9137,83.31733,129.4393,70.965385,44.43753,4371.2036,Autism
3510.0132,449.80716,239.45625,2243.8813,96.813896,98.750305,276.99042,162.61322,182.9746,9517.7,38.73384,196.39816,2319.2773,775.24927,150.43759,50.770844,590.50397,1311.5453,100.39763,81.32109,1875.3496,1006.068,3779.0881,225.92323,86.38356,3226.5144,108.78951,207.73813,447.71283,130.76428,7489.6606,72.17162,1398.434,90.488846,111.29989,89.280975,109.77866,3308.5847,Control
4018.7266,390.99124,158.30693,2954.4778,45.79018,57.238518,486.00476,106.92859,148.86357,6082.4927,51.67533,163.96927,1903.4281,670.0498,225.98947,49.397224,696.3954,1797.6143,100.86181,74.612274,2056.3904,1401.9901,2968.9204,162.6546,119.40218,3801.3115,71.27232,131.59009,354.17252,82.65944,5185.201,48.58339,1267.5869,51.28733,99.39772,58.07557,59.747658,4403.9077,Autism
1946.7761,440.9836,166.13373,2580.4507,61.520733,63.657413,184.40431,180.18776,144.97035,8940.097,27.912256,242.92938,3286.4773,1092.9114,116.82491,47.368137,650.7281,1535.6309,83.40585,47.69186,3089.8474,688.01184,4397.5947,207.33144,112.85253,1949.9368,64.6494,163.75307,224.78772,103.43261,8644.941,36.469227,645.25726,34.43134,170.50966,36.94698,57.95421,2520.4492,Control
2837.8225,285.26624,141.46968,2939.2913,48.61023,33.533943,282.08313,114.52514,196.7509,5909.612,48.255814,115.22698,1814.7784,501.70963,103.2175,35.40729,741.3127,1744.1803,29.19372,77.991264,1647.1974,926.39703,4178.9976,166.24419,73.32907,5490.0938,57.23816,94.45282,283.3133,90.35329,6841.0483,42.58877,848.4043,69.177925,109.20149,35.382786,38.95674,4969.148,Autism
3108.371,376.13336,214.11887,2611.6833,85.38054,49.968853,329.63162,136.1613,176.51201,11846.146,53.25428,293.3156,3794.7712,851.8283,166.77742,35.76906,658.7026,1519.1553,49.030945,141.46178,2887.7124,1045.0864,4492.3125,246.93623,118.047295,4844.721,88.375305,150.57483,484.4994,94.347084,9372.807,50.76172,1532.6523,86.40392,187.11302,59.719643,65.94705,3128.203,Control
3066.3606,317.41772,138.82422,2817.4412,42.398212,39.242184,428.93652,85.947685,177.95575,6175.803,73.40281,150.2646,3372.27,535.74335,165.22739,49.762917,757.9691,1696.323,52.711193,75.648125,1716.6604,1193.379,3171.05,140.71162,66.523224,7356.184,48.010723,104.81029,222.05644,56.604206,5691.4097,36.76251,1045.8792,58.525234,92.92801,40.617672,47.230347,2483.451,Autism
2402.3765,556.8332,247.1348,2514.2573,47.082355,83.75329,301.40298,136.26201,114.1289,10212.797,43.042572,263.50543,4443.992,1398.9009,90.82591,65.00295,620.1761,1666.3762,100.38038,48.766407,2680.059,1094.565,7262.9155,163.44415,115.367294,3843.6628,77.571915,188.12878,442.69513,130.69722,12882.192,52.61221,905.0763,32.509995,194.71739,47.312088,128.65402,3621.1118,Control
